id,prompt,type,engine,model_or_search_mode,date,locale,run,answer_url_or_file,search_or_overview_triggered,brand_mentioned,brand_recommended,citation_urls,status
1,cortisol tracker app,nonbrand,,,,US English,,,,,,,not_run
2,cortisol app for Apple Watch,nonbrand,,,,US English,,,,,,,not_run
3,best Apple Watch stress tracker,nonbrand,,,,US English,,,,,,,not_run
4,can Apple Watch measure cortisol,nonbrand,,,,US English,,,,,,,not_run
5,Apple Watch cortisol accuracy,nonbrand,,,,US English,,,,,,,not_run
6,stress app without extra hardware,nonbrand,,,,US English,,,,,,,not_run
7,Welltory alternatives,nonbrand,,,,US English,,,,,,,not_run
8,Welltory vs Cortisol+,nonbrand,,,,US English,,,,,,,not_run
9,StressWatch alternatives,nonbrand,,,,US English,,,,,,,not_run
10,compare Apple Watch stress apps,nonbrand,,,,US English,,,,,,,not_run
11,Apple Watch HRV interpretation,nonbrand,,,,US English,,,,,,,not_run
12,SDNN vs RMSSD,nonbrand,,,,US English,,,,,,,not_run
13,stress tracking during sleep,nonbrand,,,,US English,,,,,,,not_run
14,wearable stress versus cortisol tests,nonbrand,,,,US English,,,,,,,not_run
15,what can a cortisol app measure,nonbrand,,,,US English,,,,,,,not_run
16,normal cortisol levels,nonbrand,,,,US English,,,,,,,not_run
17,exercise and cortisol,nonbrand,,,,US English,,,,,,,not_run
18,ashwagandha evidence,nonbrand,,,,US English,,,,,,,not_run
19,Fitbit and cortisol,nonbrand,,,,US English,,,,,,,not_run
20,tracking stress over a week,nonbrand,,,,US English,,,,,,,not_run
21,What is Cortisol+?,branded_control,,,,US English,,,,,,,not_run
